,name,connected_component
6222,"RYTHM 108 : good-for-you, dessert bar",90.0
10457,Père Olive Oliven mit Knoblauch,91.0
3300,Père Olive Grüne entkernte Oliven mit Knoblauch,91.0
5253,Uncle Ben's Langkornreis,92.0
5255,Uncle Ben's Riz Long Grain,92.0
5293,,92.0
9334,Poulet-Unterschenkel,93.0
9821,Pouletschenkel,93.0
10215,Tête de Moine Rosetten Vollfett-Halbhartkäse aus Schweizer Rohmilch,94.0
6723,"Tête De Moine Aop Fromage de Bellelay Vollfett-Halbhartkäse, aus Schweizer Rohmilch",94.0
1146,,95.0
6518,Betty Bossi Rüebli,95.0
4207,Henniez Naturelle,96.0
334,,96.0
7779,evian EAU MINERALE NATURELLE,97.0
5031,evian Natürliches Mineralwasser,97.0
10997,Emmi good day UHT Milchgetränk,98.0
1887,Emmi good day Past Milchgetränk,98.0
8849,Pink Grapefruit,99.0
8817,Pink Grapefruit,99.0
4344,Naturaplan : Drink : Teilentrahmte Milch,100.0
3556,Coop naturaplan Drink Teilentrahmte Milch,100.0
6573,Coop - Naturaplan - Salbei,101.0
4535,MIGROS KRAUTER SALBE  ,101.0
3,Morga Pflaumen ensteint,
37,"coop FINE FOOD Spanischer Paella-Reis ""Bomba""",
61,Coop Naturaplan Sonnenblumenkerne geschält,
71,Valflora coffee cream,
72,COOP naturaplan butter,
81,Pinienkerne,
108,Vollkorn Haferflöckli,
122,,
147,,
149,Uncle Ben's Kochbeutel Langkornreis,
161,Migros Bio Griechisches Olivenöl,
165,COOP NATURAPLAN Passata di Pomodoro,
213,Coop naturaplan Feigen getrocknet,
236,MIGROS De la région VINAIGRE DE POMME A LA RAISINÉE,
241,100 % ARABICA EXQUISITO STÄRKEGRAD ,
244,M Classic Mandeln gestiftet,
250,Riserva Gallo Risotto Carnaroli Reis ,
252,M Classic Penne,
275,Terrasuisse Tagliatelle UrDinkel,
294,Naturaplan : Buchweizenmehl,
317,Milka & Daim Riegel,
324,Zucrinet Süssstoff 1000 Tabletten,
366,M Classic Jasmin Reis,
371,,
377,Polenta : Maisgriess : Grob,
390,cubana Rohzucker aus Zuckerrohr in Würfeln,
394,HiPP Heidelbeer Reiswaffeln,
415,coop Rosenkohl,
452,Ramseier : Jus de Fruits : Frais du pressoir,
474,Migros Gold Orangensaft,
490,CŒUR DE LION PETIT CAMEMBERT FABRIQUÉ EN NORMANDIE,
494,Limettensaft,
497,Blutorangen,
505,Delta Cafes Expresso Bar,
508,coop naturaplan Baumnüsse getrocknet,
516,ALTANATURA Rote Linsen,
517,coop Qualité & Prix  Jacobsnüsse,
538,Coop Naturaplan Betty Bossi Mungbohnen-Sprossen BIO,
569,Migros Jasmin Langkornreis,
575,Morga Macadamia Nüsse,
604,Phillipe Rochat Fondue Fondue Moitié-Moitié,
606,,
610,Betty Bossi Jungsalat mit Kräutern,
615,,
645,Migros Bio Hirseflocken,
756,,
760,Milco Blanc Battu Mager Bifidus,
798,M-Classic Reis-Waffeln,
838,Agnesi Le Integrali I Gemelli,
841,,
853,Alnavit Bio Sanddorn Muttersaft,
854,Coop Qualité & Prix Traubensaft,
857,Coop Fine Food Schwarzer Voillkara-Reis,
861,Anna's BEST Kirschen,
935,MONINI Classico SQUEEZABLE OLIO EXTRA VIRGINE DI OLIVA,
961,coop MY BAKERY BLAUMOHNSAMEN,
968,Morand Williamine,
978,Anna's Best Roter Kopfsalat,
1025,Coop Regenbogenforelle ganz,
1047,Coop Miesmuscheln,
1073,Coop Qualité & Prix Magermilchpulver,
1081,Rummo Lenta Lavorazione Spaghetti N° 3,
1099,Cremo Vollrahm UHT,
1105,,
1110,Betty Rossi Kopfsalat mit Herzen,
1125,Coop Naturalplan Blattspinat,
1147,coop Qualité & Prix Goldbuttfilet,
1171,Fagioli Stregoni Piemontesi,
1188,Biotta Sauerkraut,
1191,Aarberg Feinster Backzucker,
1205,coop FINE FOOD Avocado Oil,
1233,coop naturaplan GRIECHISCHES OLIVENÖL,
1272,Lait Vaudois Teilentrahmte Milch,
1276,Alnatura Hirse Getreidebrei mit Reis,
1283,Migros M Classic Popcorn-Mais,
1298,Emmi Gourmet Die Bratbutter Reine eingesottene Butter,
1326,Clementinen,
1330,Migros Steinpilze getrocknet,
1335,Seeberger Chia Seeds,
1336,,
1337,Thè Rooibos Rotbuschtee Classic,
1343,Premium Matcha,
1358,coop naturaplan Gourmet Feigen getrocknet,
1361,OLiVEiRA DA SERRA CLÀSSICO ORIGINAL Portuguese extra virgin olive oil,
1363,Migros Bio Basmati Langkornreis,
1364,Alnatura Bio Apfelsaft naturtrüb,
1379,M-Classic Gelberbsen,
1396,Coop Naturaplan Beluga Linsen schwarz BIO,
1399,NESCAFÉ GOLD DE LUXE,
1407,Anna's Best Endiviensalat,
1432,Coop Naturaplan Jasmin-Vollreis-Mix bio,
1442,Père Olive Classic Diabolo Oliven,
1452,Academia Barilla Farfalle,
1461,Get 27 Liqueur A La Menthe,
1463,Coop : Naturaplan : Chiasamen Bio,
1485,Migros Bio Spiralen,
1503,Coop : Naturaplan : Clementinen Bio,
1513,Apfelsaft,
1519,FATTORIE GIACOBAZZI AGRODOLCE ALL'ACETO DI MELE,
1526,Nestlé JOGHURT NACH GRIECHISCHER ART Nature ZERO,
1535,Emmi : YoQua : Nature,
