,Unnamed: 0,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin E (Tocopherol),Vitamin C (Ascorbic acid),Magnesium,Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Phosphorus,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids
1523,1523,1.0,750.0,181.0,11.0,0.5,20.0,1.6,4.0,1.0,7610200088864,Tartar,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,1524,60.0,1960.0,469.0,21.0,6.0,7.0,1.3,1.5,9.0,7610095034007,Zweifel : Cractiv : Chips Paprika,Switzerland,75.0,g,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1525,1525,46.0,1405.0,335.0,14.0,2.5,5.0,0.17,7.0,26.0,7613312029138,,,228.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,1526,5.4,250.0,59.0,0.1,0.0,8.0,0.13,0.0,5.4,7613196008496,Nestlé JOGHURT NACH GRIECHISCHER ART Nature ZERO,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,1527,,,,,,,,,,3519731207512,DOMAINE GASTON & PIERRE RAVAUT's Ladoix CLOS ROYER,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,1528,9.4,731.0,176.0,10.0,,6.9,5.2,0.4,6.0,3036810207589,Maille à l'ancienne,,210.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,1529,13.0,352.0,83.0,0.1,0.5,8.0,0.08,0.1,12.0,7613269521792,Oh! YOGURT GREEK STYLE,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,1530,41.0,1240.0,295.0,9.0,5.0,10.0,1.2,0.7,3.5,7613269454175,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,1531,15.0,2609.0,629.0,51.0,,26.0,1.0,11.0,8.0,4004817003168,Barney's Best Crunchy Peanut Butter,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,1532,60.0,1667.0,397.0,15.0,1.1,4.9,0.64,2.3,31.0,8008698006054,Schär Magdalenas,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,1533,63.0,2007.0,479.0,22.0,2.5,6.0,0.53,12.0,38.0,7617027982696,,,135.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,1534,25.0,906.0,216.0,11.0,0.7,4.0,0.12,7.0,23.0,7613312061237,Crème d'or pink grapefruit & crème fraîche,,200.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,1535,4.0,250.0,60.0,0.1,,10.0,0.1,0.0,4.0,7610900081073,Emmi : YoQua : Nature,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,1536,1.0,1560.0,377.0,33.0,,19.0,,,,3033610060635,Labeyrie Salade & Entrée Entenbrust ,France,90.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,1537,24.0,800.0,192.0,9.0,0.5,3.5,0.2,6.0,23.0,7617400042528,Midor Milk'is,,,g,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,1538,31.0,880.0,211.0,7.0,0.5,5.0,,2.5,21.0,7610849540082,Coop Fine Food Gelato Alla Nocciola,,380.0,g,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,1539,12.0,397.0,94.0,1.5,,8.0,0.3,0.9,12.0,7610900066995,Emmi ENERGY MILK NEW 26g HIGH PROTEIN Vanilla,,,g,,,,,,,1.8,,,,,0.17,0.21,,0.21,0.75,,,,,,,,,,,,,,,,
1540,1540,45.0,2380.0,571.0,39.0,4.0,8.0,0.15,13.0,42.0,7616500644403,Frey Suprême Lait Noisettes Milchschokolade mit Haselnüssen,,180.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,1541,,,,,,,,,,3060730000647,Daregal Petersilie,,50.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,1542,9.0,153.0,36.0,0.0,0.0,0.0,0.0,,9.0,7617500194684,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,1543,,,,,,,,,,5010494195286,Ardbeg Islay Single Malt Scotch Whisky ,,700.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,1544,56.0,2200.0,527.0,30.0,3.0,7.0,0.26,20.0,42.0,7613269187417,Farmer : Soft Choc : Marrons,Switzerland,192.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,1545,5.0,2490.0,601.0,51.0,9.0,26.0,0.1,6.0,3.5,7617014127901,,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,1546,30.0,1268.0,304.0,14.0,13.0,8.0,5.3,1.5,17.0,7617027633864,Anna's Best Getrocknete Tomaten mit Knoblauch,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,1547,13.0,400.0,96.0,3.1,0.5,4.0,0.1,1.8,13.0,22140616,Migros Joghurt Vanille,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,1548,68.0,1764.0,418.0,9.0,2.5,15.0,,4.0,36.0,7613032520533,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,1549,7.0,119.0,28.0,0.0,0.0,0.0,0.0,0.0,7.0,7613312035627,,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,1550,24.2,920.0,219.0,11.0,1.2,5.3,0.13,5.0,15.0,7640168230050,Ruci - Rahm-Glace Pistazien & Kardamom,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
