,Carbohydrates,Energy (kCal),Fat,Protein,barcode,ingredients,name
73,55.0,557.0,33.0,8.1,7614800250003,"['chocolat au lait', 'sucre', 'beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'lait écrémé en poudre', 'émulsifiant', 'léchithines de soja', 'extrait de vanille', 'cacao', 'min', 'amandes', 'sucre', 'sucre caramélisé', 'fécule de pomme de terre', 'sirop de glucose', 'farine de blé', 'graisse de palme', 'beurre', ""blanc d'œuf en poudre"", 'huile de tournesol', 'émulsifiant', 'lécithines de soja', 'lait entier en poudre', 'miel de pâtisserie', 'lait écrémé en poudre', 'sel']",Kambly Mandelcaramel
74,29.0,226.0,9.0,6.5,4001724420101,"['farine de blé', 'eau', 'champignons', 'yaourt', 'crème fraiche', '7', 'tomates en morceaux', '6', 'fromage edam', 'huile de colza', 'sel', 'levure de boulangerie', 'amidon modifié', 'cèpes coupés en morceaux', 'sucre', 'matière grasse de palme', 'champignons en poudre', 'persil', 'dextrose', 'poivre', 'huile de tournesol', 'oignon en poudre', 'ail en poudre', 'protéines végétales hydrolysées', 'gingembre', 'maltodextrine', 'caramel', 'amidon', 'arôme']",Dr.Oetker Bistro Classique Baguette Champignon
75,,,,,0734756000068,"['eau', 'purée de tomates', 'sucre', 'mélasse', 'sucre brun', 'vinaigre de vin blanc', 'sel', 'miel', 'arôme fumée', 'fécule', 'épices', '>0', 'couleur caramel', 'oignons et ail secs', 'gum de xantan', 'gum de guar', 'sirup de mais', 'tamarnier', 'arôme nat']",Stubb's Smokey Mesquite
79,15.0,195.0,9.0,13.0,7613312059197,"['pangasius', 'pangasius hypophthalamus', 'farine de blé', 'eau', 'huile de soja', 'amidon de ble', 'sel marin', 'levure', 'paprika en poudre', 'curcuma en poudre']",Migros Bio Fischstäbchen Pangasius
81,14.0,596.0,45.0,32.0,7610200303394,"[""peut contenir des cacahuètes et d'autres fruits à coque"", 'noix']",Pinienkerne
83,,258.0,,,7610845105827,"['lait sans lactose', 'sel marin', 'teneur totale en sel de cuisine', '0']",coop freefrom Mozzarella Lactosefrei
84,9.0,37.0,0.0,0.0,7610097111294,"['eau', 'sérum de lait', 'sucre', 'gaz carbonique', 'acidifiant', 'acide lactique l', '+', 'sucre caramélisé', 'arômes naturels']",rivella DAS ORIGINAL
85,3.0,,17.0,13.0,7610200098641,"['viande de poulet', 'peau de poulet', 'eau', 'graisse de poulet', 'sel nitrité pour saumure', 'sel de cuisine', 'conservateur', 'e 250', 'épices', 'sirop de glucose', 'glucose', 'fécule de pomme de terre', 'stabilisants', 'e 331', 'e 450', 'antioxydant', 'acide ascorbique', 'enveloppe', 'boyau de boeuf']",Optigal Gefügel cervelas
86,,,,,3021760400012,"['pomme 96', 'sucre', 'jus de citron concentré', ""si necessaire pour réguler l'acidité"", 'antioxydant', 'acide ascorbique', 'sans gluten']",
88,78.0,372.0,1.5,9.3,5053827110624,"['riz', 'blé complet', 'sucre', 'orge', '8', ""farine d'orge maltée"", ""arôme de malt d'orge"", 'sel', 'peut contenir', 'lait']",KELLOGG'S : Special K Classic
