,Carbohydrates,Energy (kCal),Fat,Protein,barcode,ingredients,name
10650,60.0,348.0,3.5,15.0,7613312087077,"['quinoa', 'blanc', 'rouge', 'noir', 'riz', 'lentilles rouges', 'carottes', 'poireau', 'persil', 'oignons', 'de production biologique étrangère']",Migros Bio Quinoa Mix
10651,,,,,3013010211981,"['vin mousseux', 'eau', 'sucre', 'arômes', 'extraits naturels', 'acidifiant', 'acide citrique', 'conservateurs', 'e202', 'antioxydant', 'e300']",CAFÉ DE PARIS Blancs de Fruits Mangue
10652,22.0,157.0,6.0,3.5,7617400048797,"['lait écrémé', 'petit', 'lait', 'sucre', 'graisse de coco', 'produits laitiers en poudre', 'sirop de glucose et fructose', 'cacao', 'émulsifiants', 'e 471 et lécithine de soja', 'stabilisants', 'farine de graines de caroube et farines de graines de guarkernmehl', 'arômes naturels', 'huile de tournesol', 'extrait concentré', 'fleur de carthame', 'concentré de citron', 'concentré de jus de betterave rouge']",Lilibiggs Tobi Vanilla and chocolate flavored ice cream
10653,52.0,507.0,29.0,6.0,4104420139909,"['pommes de terre', 'huile de tournesol', 'mélange de condiments', 'paprika', 'sel marin', 'sucre de betterave', 'tomate', 'oignon', 'fibres de pomme', 'poivre noir', 'piment de la jamaique', 'panais', 'piment', 'ail']",ALNATURA CHIPS
10654,57.0,404.0,14.0,9.0,7613269187578,"[""flocons d'avoine de grains entiers"", 'pâte de pommes', 'concentré de jus de pomme', 'purée de pommes', 'abricots', 'séchés', 'huile de tournesol', 'noix de coco râpee', 'farine de riz', 'arôme naturel']",Bio aha! Farmer Junior Aprikose-Apfel
10655,25.0,607.0,49.0,10.0,7613269196389,"['pâte de cacao', 'sucre de canne', 'beurre de cacao', 'gousses de vanille', 'peut contenir du lait', 'des noisettes', ""des amandes et traced d'autres fruits à coque"", 'noix', 'cacao', 'minimum']",MIGROS SÉLECTION TRINIDAD 80% CACAO
10656,,,,,7613312004890,"['weissweinessig', 'kräuterextrakte', 'kochsalz', 'farbstoff', 'einfaches zuckercoleur', 'geschmacksverstärker', 'mononatriumglutamat', 'antioxidationsmittel', 'schwefeldioxid']",Condy Essig Kräuter
10657,44.0,606.0,42.0,11.0,7610400066198,"['amandes', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'émulsifiant', 'lécithine de soja', 'arôme', ""peut contenir des noisettes et d'autres fruits à coque""]",Lindt Les Grandes Weisse Schokolade mit Mandeln
10658,,,,,8717853491603,"['cannelle', 'gingembre', 'réglisse', 'rooibos', 'fenouil', 'cardamome', 'caroube', 'vanille', 'écorces de cacao', 'clous de girofle', 'poivre noir', 'muscade']",Shotimaa Détente Du Soir Vanille Chai Infusion Aux Herbes Et Aux Épices
10659,29.0,268.0,12.0,10.0,7613269250821,"['petit pain de sils', 'farine de blé', 'eau', 'levure', 'huile de colza', 'gluten de blé', 'sel de cuisine iodé', 'lait écrémé en poudre', 'petit', 'lait en poudre', 'glucose', ""correcteur d'acidité"", 'e 524', 'beurre', ""farine de malt d'orge"", 'pulpe de malpighia en poudre', 'agent de traitement de la farine', 'acide ascorbique', ""fromage d'italie"", 'viande de porc', 'lard', 'couennes et viande de boeuf', 'eau', 'sel nitrité pour saumure', 'sel de cuisine', 'conservateur', 'e 250', 'épices', 'protéines de lait', 'lactose', 'stabilisant', 'e 452', 'bouillon', ""extraits d'épices"", 'avec céleri', 'extrait de levure', 'antioxydant', 'acide ascorbique', 'arômes', 'sauce tartare', 'huile de tournesol', 'eau', 'cornichons', ""jaune d'oeuf"", ""d'élevage au sol"", 'persil', 'épaississants', 'amidon modifié de maïs visqueux et e 415', 'sucre', 'câpres', 'épices', 'moutarde', 'condiment en poudre', 'ciboulette', 'vinaigre de table', 'sel de cuisine iodé', 'jus de citron concentré', 'concombres au vinaigre', 'concombres', 'sucre', 'sel de cuisine', 'vinaigre de table', ""extraits d'épices""]",Fleischkäse Sandwich
10660,47.1,287.0,4.8,7.7,7613034632432,"['légumes', 'ail', 'oignon', 'tomate', 'poivron rouge', 'sel de cuisine', 'flocons de pommes de terre', 'fines herbes', 'persil', 'marjolaine', 'basilic origan', 'thym', 'épices', 'coriandre', 'poivre noir', 'gingembre', 'poivre de cayenne', 'sucre', 'amidon de maïs', 'maltodextrine', 'huile de tournesol', 'acidifiant', 'acide citrique', 'arômes', 'sucre caramélisé', 'jus de citron concentré', 'concentré de jus de bettrave rouge colorant']",Maggi IDEE für Zart & Saftig Poulet Kräuter-Zitrone
10661,58.0,239.0,0.0,0.5,7610849101825,"['cerises', 'hongrie', 'sucre', 'concentré de jus de citron', 'gélifiant', 'e 440i', ""tous les ingrédients agricoles sont issus de l'agriculture biologique""]",Coop Naturaplan Konfitüre extra Kirschen
10662,14.9,78.0,1.3,1.5,4062300084056,"['yogourt', 'fruits', 'purée de pommes', 'jus de raisins concentré', ""purée d'abricots"", 'purée de bananes', 'eau', 'riz cuit', 'amidon de riz', 'amidon de maïs', ""correcteur d'acidité acarbonate de calcium"", 'antioxidant acide ascorbique']",Hipp Früchte-Duett Joghurt auf Früchten
10663,59.0,524.0,28.0,8.0,7613331265807,"['farine de blianche', 'fromen', 'beurre', 'fondu', ""europe de 'nord"", 'australie', 'sucre', 'sel de cuisine']",Betty Bossi Butterblätterteigmuscheln
10664,4.0,160.0,15.0,3.0,7610827892745,"['crème à café', 'stabilisants', 'e331', 'e339', 'e452']",COOP Prix Garantie Kaffeerahm
10665,1.0,95.0,1.0,21.0,7613269181057,"['viande de poulet', 'eau', 'sel de cuisine iodé', 'antioxydant', 'e 331', 'maltodextrine', 'glucose', 'épices', 'condiment en poudre']",Pouletbrustschnitzel mariniert
10666,95.0,388.0,0.0,0.0,7610848065050,"['sucre', 'dextrose', 'extrait de thé noir', 'acidifiant e 330', 'jus de pêche en poudre 2', 'arômes']",Coop Ice Tea peach 
10667,50.0,561.0,36.0,7.8,7610400013864,"['sucre', 'beurre de cacao', 'noisettes', 'lait entier en poudre', 'pâte de cacao', 'lactose', 'lait écrémé en poudre', 'émulsifiant', 'lécithine de soja', ""extrait de malt d'orge"", 'arôme']",Lindt SWISS PREMIUM CHOCOLATE Swiss Milk Hazelnut
10668,6.0,31.0,0.5,0.5,7610161121181,"['concombres', ""vinaigre d'alcool et de vin blanc"", 'eau', 'sucre', 'sel de cuisine iodé', 'épices et herbe aromatique', 'avec graines de moutarde', ""extraits d'épices"", 'antioxydant', 'e244', 'sulfite']",Hugo Reitzel Tante Anita Gurken
10669,3.5,88.0,7.0,2.0,7616800833293,"['champignons de paris', 'avec sel de cuisine', 'acidifiant', 'acide citrique', 'acide ascorbique', 'eau', 'huile de tournesol', 'champignons noirs', 'crème', 'condiment en poudre', 'amidon de maïs modifié', 'lait écrémé en poudre', 'sirop de sucre caramélisé', 'extrait de levure', 'protéine de lait', 'contient du lactose', 'vin blanc', 'champignons de paris en poudre', 'épices', ""extraits d'épices"", 'épaississant', 'gomme xanthane']",M Classic Pilzgericht
10670,0.1,334.0,26.0,24.0,7610900028054,"['fromage suisse à pate mi', 'dure', 'gras', 'à base de lait pasteurisé']","Emmi Chäs Schiibe, cremig-fein"
10671,55.0,278.0,1.5,10.0,7611654686316,"['farines de céréales', 'froment', 'seigle', 'eau', 'sel marin', 'germes de blé 1', 'levure', ""farine de malt d'orge"", 'gluten de froment', 'amidon de froment', 'dextrose', ""poudre d'acérola avec fécule de manioc"", 'améliorant de cuisson', 'teneur totale en sel de cuisine', '1']",COOP Ficelle FAIT MAISON
10672,9.0,41.0,0.0,1.0,7610809057094,"['jus de betterave rouge', 'jus de poire', 'concentré de jus de citron']",coop naturaplan Randensaft
10673,61.0,536.0,30.0,5.0,7640107061219,"['sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactose', 'lactosérum doux en poudre', 'lait écrémé en poudre', 'émulsifiant', 'lécithine de tournesol', 'e476', 'arômes']",
10674,,,,,7613032788636,"['farine de blé', ""partiellement convertie en sucre d'amidon"", 'sucre', 'maltodextrine', 'vitamines', 'c', 'e', 'niacine', 'b1', 'a', 'b6', 'acide folique', 'd', 'sels minéraux', 'fumarate de fer', 'iii', 'sulfate de zinc', 'iodure de potassium', 'arôme naturel de vanille']",Nestlé Bébé Poudre de céréales vanille
10675,75.0,384.0,3.9,9.5,4104420139565,"['maïs 83', 'riz', 'amarante', 'graines de lin', 'sel marin 0', ""de l'agriculture biologique"", 'peut contenir des traces de soja et lupin']",Alnatura – Mais Amaranth Waffeln mit Reis & Leinsamen
10676,65.0,504.0,23.0,8.0,7617400030051,"['farine de blé', 'beurre', 'sucre', 'oeuf entier en poudre', ""d'élevage au sol"", 'sel de cuisine', 'poudres à lever', 'e500', 'e503', ""malt d'orge""]",MIDOR Butter Sablés
10677,0.0,201.0,15.0,17.0,7610829174931,['viande de poulet'],COOP PR!X Garantie Schweizer Poulet Flugeli
10678,62.9,253.0,0.0,0.1,50172511,"['sirop de glucose', 'fructose', 'sucre', ""jus d'orange concentré"", 'eau', ""zeste d'orange"", 'oranges', 'gélifiant', 'pectine', 'acide citrique', 'mélasse', 'régulateur acide', 'citrate de sodium', ""huile d'orange""]",Robertson's GOLDEN SHRED
10679,13.7,141.0,7.3,4.2,7613196010154,"['lait entier', 'crème 8', 'sucre', 'protéines de lait', 'miel 2', 'noix', 'jus de citron à base de concentr', 'épaississant', 'pectines', 'arôme']",Nestlé Joghurt Nach Griechischer Art Honig
10680,69.0,349.0,1.5,13.0,7613312026601,"['semoule de blé dur', 'farine de quinoa', 'de production biologique étrangère', 'peut contenir œufs']",Migros Bio Penne mit Quinoa
10682,49.0,543.0,35.0,6.0,7616500639836,"['sucre', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'noisettes', 'amandes', 'beurre fondu', 'noix', 'humectants', 'sirop de sorbitol', 'e422 et invertase', 'sirop de sucre inverti', 'sirop de glucose', 'huile de palme', 'lait écrémé en poudre', 'huile de coco', 'kirsch', 'huile de tournesol', 'émulsifiant', 'lécithine de soja', 'rhum', 'cognac', 'café torréfié moulu', 'cacao en poudre', 'arômes', 'sucre caramel', 'peut contenir du gluten', ""des œufs et des traces d'autres fruits à coque"", 'noix', 'cacao', 'minimum dans le chocolat au lait', 'cacao', 'minimum dans le chocolat noir']",FREY PRALINES DU Confiseur
10683,4.5,24.0,0.5,1.5,8002510005003,"['tomates', 'jus de tomate']",Longobardi Pomodori pelati
10684,13.0,78.0,1.5,2.5,7610900117970,"['yogourt partiellement écrémé', 'sans lactose', 'au lait pasteurisé avec 1', 'de matière grasse', 'avec lactobacillus gg', 'sucre', 'puréé de pêche ä base de concentré', 'dextrose', 'oligofructose', 'épaississant pectine', 'arôme', 'concentré de jus de citron', 'vitamines', 'b6', 'b12', 'd', 'acide folique']",
10685,10.0,44.0,0.5,0.5,7616800817019,"[""jus d'orange à partir de concentré"", 'pasteurisé', 'de production biologique étrangère']",Migros Bio Orangensaft
10686,1.0,13.0,0.5,1.5,7617027631754,"['côtes de bette rouge', 'tatsoi', 'mizuna', 'laitue feuille de chêne', 'roquette', 'suisse/italie', 'feuilles de moutarde']",Anna's Jungblattsalat
10687,,,,,4012824400689,"['anis', 'fenouil', 'réglisse', 'cardamome', 'poivre noir', 'cannelle', 'gingembre', 'clous de girofle']",Yogi Tea Biologique Sweet Chai
10688,19.6,85.0,0.2,0.4,4002359631870,"['eau', 'sucre', 'tomates', 'oignons', 'ananas', 'vinaigre', 'carottes', 'amidon de maïs', 'poivrons rouges', '2', 'céleri', '2', 'poivrons verts', '2', 'pousses de bambou', 'jus de tamarin', 'sel', 'colorant', 'extrait de paprika', 'épices']",Uncle Ben's Sweet & Sour
10689,,,,,7613331793324,"['viande de boeuf', 'sel de cuisine iodé', 'épices', 'dextrose', 'antioxydant', 'e 331', 'e 301', 'conservateur', 'e 252', ""extrait d'épices"", 'teneur total en sel de cuisine']",Coop qualité & prix - Hobelfleisch Grischun
10690,59.0,466.0,20.0,8.0,4006780076859,"['sucre de canne', 'noisettes', 'chocolat noir extra fin', 'sucre de canne', 'cacao en pâte', 'beurre de cacao', 'émulsifiant', 'lécithine de soja', 'farine de maïs', 'orangeat', ""écorce d'orange"", 'sirop de maïs', 'sucre de canne', 'jus de citron', 'oublies de boulangerie', 'fécule de pommes de terre', 'farine de maïs', 'amidon de gonflement de maïs', 'figues', 'épices', 'avec canelle', 'massepain', 'amandes', 'sucre de canne', 'sirop de sucre inverti', 'eau', ""blanc d'œuf en poudre"", ""d'œufs d'élevage en plein air"", 'sirop de sucre inverti', 'amidon de maïs', 'farine de riz', 'miel', 'poudre à lever', 'e 503', 'épaississants', 'farine de graines de caroube et gomme guar', 'fécule de pommes de terre', 'de production biologique étrangère']",Migros Bio Elisen-Lebkuchen
10691,,,,,7610827511684,"['farine blance', 'froment', 'sucre', 'graisses et huiles végétales', 'tournesol', 'palme', 'colza', 'œufs', 'amidons', 'pomme de terre', 'froment', 'levure', 'kirsch', ""blanc d'œuf en poudre"", 'yogourt écrémé en poudre', 'sel de cuisine iodé', 'fructose', ""farine de malt d'orge"", 'émulsifiant e 471', 'acidifiant e 330']",Mini Fasnachtschüechli
10692,18.0,109.0,2.8,3.0,22016362,"['yogourt', 'lait', 'protéines du lait', 'sucre 9', 'préparation de caramel 7', 'sucre', 'sirop de sucre caramélisé', 'sirop de glucose', 'arôme']",Mclassic Caramel
10693,38.7,541.0,38.7,4.7,42143956,"['noix de coco râpée', 'chocolat noir', 'pâte de cacao', 'sucre de canne brut', 'beurre de cacao', 'sirop de glucose et fructose', 'chocolat au lait', 'sucre de canne brut', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'sucre de canne brut', 'sirop de glucose']",
10694,11.5,51.0,0.2,0.5,7610235004815,"['eau', 'jus concentré de fruits', 'orange', 'fruit de la passion', 'ananas', 'sucre', 'purée de', 'banane', 'pêche', 'mirabelle', 'poire et mangue', 'acidifiant', 'acide citrique', 'vitamine c', 'niacine', 'vitamine e', 'acide pantothénique', 'bêta', 'carotène', 'vitamines b6', 'b2', 'b1', 'acide folique', 'biotine et vitamine b12']",granini FRUCHTCOCKTAIL
10695,9.0,38.0,0.0,0.5,7613331364128,"['jus de pamplemousse à base de concentré', 'afrique du sud']",Coop Qualité & Prix Pink Grapefruitsaft
10696,14.0,63.0,0.5,1.5,7613269260844,"['mélange de purée de fruits', 'pulpe de framboises', 'jus de pomme', 'purée de banane', 'avec antioxydant', 'acide ascorbique', 'yogourt au lait écrémé', ""jus d' agave concentré"", 'concentré colorant de fruits', 'bales de sureau', 'stabilisants', 'pectine', 'pasteurisé']","Smoothie Himbeer, Apfel, Banane"
10697,40.0,576.0,42.0,6.0,7616500923874,"['sucre', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'cacao en poudre', 'café torréfié moulu 3', 'croquant au café', 'sucre', 'café torréfié', 'beurre fondu', 'émulsifiant', 'lécithine de soja', 'arôme']",FREY Sogni Di Caffè Ristretto
10698,11.0,73.0,1.8,3.0,7613269549918,"['lait écrémé', 'fructose', 'eau', 'crème', 'amidon de maïs', 'lait écrémé en poudre', 'épaississants', 'e 407', 'e 415 et farine de graines de guar', 'colorants', 'e 150b', 'bêta', 'carotène et caramel ordinaire', 'émulsifiant', 'e 471', 'édulcorants', 'aspartame', 'acésulfame k et saccharine', 'vanilline', 'arômes', 'contient une source de phénylalanine']",MIGROS Léger FLAN CARAMEL
10699,,,,,7610827333811,"['eau', ""malto d'orzo"", 'houblon']",COOP Lager Bier 
10700,58.0,570.0,34.0,6.7,7610400010047,"['sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'amandes', 'noisettes', 'matière grasse végétale', 'palme', 'sirop de glucose', 'lactose', 'lait écrémé en poudre', 'émulsifiant', 'lécithine de soja', 'extrait de malt d’orge', 'arôme']",Lindt Cresta Classic
10701,15.0,74.0,0.0,2.0,2110658001507,"['pommes de terre', 'provenance', 'voir daun']",Coop let's cook! Kartoffeln gekocht
10702,34.0,321.0,18.0,5.0,7610827933615,"['lait écrémé', 'sucre', 'beurre de cacao', 'eau', 'lait entier en poudre', 'amandes', 'protéines de petit', 'lait', 'graisse de coco', 'sirop de glucose', 'cacao en pâte', 'lait écrémé en poudre', 'émulsifiants', 'e 471', 'e 476', 'e 322 de soja', 'stabilisants', 'e 412', 'e 410', 'e 407', 'arômes', 'colorant', 'e 160a']",coop Prix Garantie Lutscher
10703,49.0,520.0,31.0,6.0,3046920010405,"['sucre', 'pâte de cacao', 'amandes', 'beurre de cacao', 'abricot sec', 'beurre laitier concentré', 'dextrose', 'emulsionante', 'lécithine de soja', 'arôme naturel', 'arôme']",Lindt EXCELLENCE ABRICOT INTENSE NOIR Aux Amandes effilées
10704,1.0,419.0,37.0,22.0,7610827659539,"['viande de porc 68g', 'lard', 'viande de boeuf 20g', 'couennes', 'sel de cuisine iodé', 'épices', 'dextrose', 'sirop de glucose', 'sucre', 'conservateur', 'e252', 'antioxydants', 'e300', 'e301', 'teneur totale en sel de cuisine', '4']",coop Qualité & Prix  Salami Alfredo feinkörnig
10705,0.9,4.0,0.5,0.5,7613312021132,"['sel marin', 'maltodextrine', 'sucre', 'amidon de maïs', 'légumes déshydratés 3', 'carottes', 'oignons', 'polreau', 'extrait de levure', 'herbes déshydratées 2', 'cerfeuil', 'livèche', 'persil', 'huile de colza', 'sel de cuisine iodé', 'épices', 'noix de muscade', 'curcuma', 'poivre', 'arôme naturel']",
10706,12.0,89.0,3.0,2.0,7610809111093,"['pommes de terre', 'beurre', 'sel de cuisine iodé', 'concentré de jus de citron', 'curcuma']",coop naturaplan Rösti fixfertig
10707,14.0,74.0,0.8,2.5,8410100202228,"['lait partiellement écrémé', '1', 'matière grasse', 'sucre', 'fruits rouges', 'purées de fraises', 'framboises et cerises', 'ferments lactiques', 'avec lactobacillus johnsonii la1', 'sirop de glucose et fructose', 'amidon modifié', 'arôme', 'antioxydant', 'ascorbate de calcium', 'colorant', 'e120']",Nestlé LC1 Rote Früchte
10709,0.5,144.0,9.0,15.0,7613331643551,"['eau', 'fèves de soja', 'nigari', 'sel de cuisine iodé', 'herbes aromatiques', 'inde', 'maroc', 'tous les ingrédients agricoles sont issus de la production biologique']",coop Betty Bossi BIO TOFU PROVENÇALE Karma
10710,51.0,268.0,2.0,9.0,7610829934597,"['farine blanche', 'froment', 'eau', 'levure', 'sel de cuisine iodé', ""farine de  malt d'orge"", 'huile de colza', 'dextrose', 'stabilisant', 'e412', 'éthanol', 'émulsifiant', 'e472e', 'agent de traitement de la farine', 'e300']",Coop Frischback Semmeli
10711,2.5,32.0,0.5,3.0,7613269172451,"['brocoli', 'de production biologique suisse']",Schweizer Broccoli
10712,34.0,42.0,0.0,0.6,7613312036228,"['framboises', 'fructose', 'jus de framboises à partir de concentré', 'gélifiant', 'pectine', 'concentré colorant de fruits', 'baies de sureau', 'sirop de sucre inverti', 'acidifiant', 'acide citrique', 'conservateur', 'e 202', 'antioxydant', 'acide ascorbique']",Migros Extra Fit & Well Himbeeren
10713,73.5,371.0,2.0,12.5,7612100001813,"[""extrait de malt d'orge"", 'lait écrémé condensé', 'cacao fortement dégraissé', 'sels minéraux', 'phosphate de calcium', 'carbonate de magnésium et phosphate de fer', 'huile de colza', 'vitamines', 'a', 'd', 'e', 'c', 'k', 'b1', 'b2', 'niacine', 'b6', 'acide folique', 'b12', 'biotine', 'acide pantothénique', 'sel de cuisine', 'arôme vanilline']",Ovomaltine original
10714,3.7,102.0,5.5,9.1,7613031702886,"[""filet de colin d'alaska"", 'therarga chalcogramma', 'pêche sauvage', 'océan pacifique nord', 'est', 'lait écrémé', 'légumes', 'courgettes', 'poireaux', 'céleri', 'carottes', 'oignons en poudre', 'huile de tournesol', 'vin blanc', 'amidon', 'lait écrémé en poudre', 'sel de cuisine iodé', 'persil', 'beurre fondu', ""jaune d'oeuf en poudre"", 'gluten de blé', 'arômes', 'sucre']",
10715,59.0,531.0,28.0,9.0,7617400030327,"['farine de blé', 'beurre', 'sucre', 'noisettes', 'protéines du lait', 'sel de cuisine', 'poudre à lever', 'e 503', ""malt d'orge""]",Noisette Butter-Haselnuss-Gebäck
10717,12.0,89.0,3.0,2.0,7610807052800,"['pommes de terre', 'beurre', 'sel de cuisine iodé', 'concentré de jus de citron', 'curcuma']",Naturaplan Bio Rösti Fixfertig
10718,1.0,198.0,6.0,35.0,7617027805650,"['viande de porc', 'sel de cuisine iodé', 'glucose', 'antioxydant e 331 et e 301', 'conservateur', 'e 252', ""extrait d'épice""]",Migros Bündner Rohschinken
10719,18.8,103.0,2.6,0.2,7613034041432,"['eau', 'jus de fruits à base de concentré', ""jus d'abricots"", ""jus d'ananas"", 'jus de citron', 'purée de framboises à base de concentré', 'sucre', 'sirop de glucose', 'huiles végétales', 'noix de coco', 'tournesol', 'concentrés de fruits', 'légumes et végétaux', 'betterave rouge', 'carotte et carotte noire', 'carthame', 'citron', 'cassis', 'arômes naturels cacao en poudre', 'stabilisants', 'gomme guarkernmehl', 'pectine', 'sirop de sucre inverti', 'émulsifiant', 'lécithines']","Nestlé Frisco - Winnetou (x6), Wassereis Himbeer, Aprikose und Ananas mit kakowhaltiger Glasur 3.6%"
10720,,,,,2110302003109,"['lait', 'sel de cuisine', 'teneur totale en sel de cuisine', '1']",Coop Qualité & Prix Tilsiter Switzerland Mild
10721,14.0,146.0,8.7,3.0,22136671,"['yogourt à la crème', 'lait écrémé', 'crème', 'protéines du lait', 'eau', 'sucre 5', 'miel', 'amidon modifié de tapioca', 'arôme']",YOGOS HONIG
10722,74.0,414.0,7.0,12.0,7610058003200,"['farine de blé', 'sucre', 'levure', 'huile de palme', 'lait écrémé en poudre', 'sel', ""extrait de malt d'orge"", 'phosphate de magnésium', 'phosphate de calcium', 'phosphate de fer', ""poudre d'acérola"", 'sur fécule de manioc']",Roland Qualité & Tradition Suisse Rusk
10723,27.0,164.0,3.5,6.0,7616800820026,"['pâtes aux œufs cuites', 'semoule de blé dur', ""œufs d'élevage au sol 13"", 'sel de cuisine', 'beurre', 'huile de colza', 'sel de cuisine', 'amidon de riz']",Subito Butternudeln
10724,56.0,434.0,15.0,13.0,7610032065217,"['froment complet égrugé', 'sésame', 'huile de colza', 'lait écrémé en poudre', 'sel marin', 'germes froment', 'levure', ""extrait de malt d'orge"", 'poudre à lever', 'carbonate de sodium']",Dar-Vida Sesam
10725,,,,,3330251000137,"['sauvignon', 'semillon', 'sulfites']",CHATEAU CARBONNIEUX GRAND CRU CLASSE DE GRAVES PESSAC - LEOGNAN
10726,52.0,330.0,8.0,12.0,7611100122290,"['légumes', 'pommes de terre', 'oignons', '3', 'courgettes', '3', 'tomates', 'poireau', 'céleri', 'sel comestible iodé', 'graisse végétale', 'extrait de levure', ""huile d'olive extra vierge"", 'ail', 'jus de carottes en poudre', 'amidon', 'sucre', 'lactose', 'protéine de lait', 'fines herbes', 'thym', 'romarin', 'marjolaine', 'épices', 'arôme']",Knorr Le Jardin Kartoffel
10727,80.0,337.0,1.2,0.2,4008258414019,"['ananas', 'sucre', 'acidifiant', 'acide citrique', 'antioxydant', 'anhydride sulfureux']",SEEBERGER WERTVOLLE SNACKS PINEAPPLE PIECES SWEETENED
10729,48.0,258.0,3.0,9.0,7611654536932,"['farina de froment', 'eau', 'huile de colza', 'sel marin', 'germes de blé 1', 'levure', 'son de froment', 'gluten de froment', 'amidon de froment', 'dextrose', ""farine de  malt d'orge"", ""poudre d'acérola avec fécule de manioc"", 'améliorant de cuisson']",Coop Pain maison clair
10730,,,,,7610827962141,"['fruits de câpier', 'eau', 'vinaigre balsamique blanc', 'vinaigre de vin blanc', 'moût de raisin concentré', 'sel de cuisine', 'sucre', 'antioxydant', 'e 300', 'teneur totale en sel de cuisine', '3']",Coop Kapernäpfel
10731,40.0,296.0,11.0,8.1,4034900036780,"['farine de froment', 'eau', 'levure', 'sel', 'farine de sigle', ""farine de malt d'orge"", 'gluten de froment']",Farmland Baguette pre baked with herb & garlic butter
10732,1.0,15.0,0.5,1.5,7617027631433,"['chicorée scarole', 'chicorée pain de sucre', 'chicorée rouge', 'chicorée frisée', 'peut contenir', 'céleri']",Anna's Best Mischsalat
10733,,380.0,,,2411250006205,"['lait bio', 'cru', 'thermisé', 'sel de cuisine']",Coop - Tilsiter mittelreif
10734,9.0,607.0,55.0,23.0,7610491168405,"['cacahouètes', 'amandes', 'noix de pécan', 'noix de cajou', 'sel de cuisine 1', ""sirop d'amidon"", 'amodon modifié', ""extrait d'épice"", 'huile de coton']",
10735,,,,,5010677935005,"['vin', 'sucre', 'alcohol', 'extraits naturels de plantes aromatiques']",Martini Extra Dry Torino
10736,51.0,547.0,34.0,7.0,7617400036480,"['sucre', 'farine de blé', 'beurre', 'huiles et graisses végétales', 'palmiste', 'tournesol', 'palme', 'œuf entier', ""d'élevage en plein air"", 'pâte de cacao', 'cacao maigre', 'beurre de cacao', ""blanc d'œuf en poudre"", ""d'élevage en petit"", 'lait en poudre air', 'beurre concentré', 'émulsifiant', 'lécithine de soja', 'lait écrémé en poudre', 'arôme naturel', ""malt d'orge""]",Migros Créa d'Or Harmonie
10737,59.0,498.0,24.0,10.0,7610449002270,"['farine de froment', 'eau', 'beurre', 'lait écrémé en poudre', 'sel de cuisine', ""malt d'orge"", 'levure', 'info allergies', 'contient du gluten', 'du lait et des oeufs']",MA REGION  Fabrication artisanale Fluettes croustillantes mit butter Eclair Saveur & Tradition
10738,84.0,378.0,0.9,7.0,5050083122781,"['maïs', 'sucre', ""arôme de malt d'orge"", 'sel']",Kellogg's Corn Flakes 
10739,2.5,388.0,40.0,6.0,7613356135901,"['beurre', 'eau', 'babeurre', 'protéines de lait', 'fraction de beurre', 'amidon modifié de maïs', 'e 1422', 'émulsifiant', 'e 471', 'acidifiant', 'e 270', 'conservateur', 'e 202', 'sel de cuisine', 'arôme', 'colorant', 'e 160a']",Coop Qualité & Prix Halbfettbutter
10740,,,,,4250442210123,"['pomme 39', 'pommes', 'agent acidifiant', 'acide citrique', ""fleurs d'hibiscus"", 'écorces de cynorhodon', ""écorces d'orange"", 'raisins de corinthe', 'baies de sureau', 'canneberges', 'avec du concentré de pomme', 'arômes naturels', 'feuilles de mûrier']",Thé Symphonie Wild Berries
10741,46.0,306.0,1.5,15.0,7613312001431,"['semoule de blé dur', 'amidon de blé modifié', 'protéine de blé', 'épaississant', 'farine de graines de guarkernmehl', 'épices']",Léger SPAGHETTI
10742,7.0,60.0,2.1,2.7,7613034622099,"['légumes', 'carottes', 'purée de tomates', 'petits pois', 'oignons', 'eau', 'pâtes cuites', 'eau', 'semoule de blé dur', ""blanc d'oeuf en poudre"", 'viande de porc', 'amidon de riz', 'semoule de riz', 'huile de colza', 'huile de tournesol', 'sel de cuisine iodé', 'persil']",Nestle Tomaten Teigwaren Schinken
10743,47.0,262.0,3.8,8.3,9005300019012,"['farine de blé', 'eau', 'levain de blé', 'farine de blé', 'eau', 'huile de colza', 'levure', 'sucre', 'sel de table']",Ölz Super Soft Sandwich Smooth bread Wheat Bread
10744,58.0,459.0,20.0,4.0,7613331317971,"['sucre', 'beurre de cacao', 'kirsch', 'latte intero in polvere', 'acqua', 'pasta di cacao', 'sciroppo di glucosio', 'latte magro in polvere', 'aroma naturale', 'emulsionante', 'e 322 di soia']",coop KIRSCH
10746,13.0,58.0,1.0,0.6,7613033574191,"['poires', 'abricots 12', 'pêches 10', 'banane', 'semoule de riz', 'antioxydant', 'acide ascorbique']",Nestle Birne Aprikose Pfirsich
10747,20.0,308.0,23.0,5.0,7613269549307,"['crème', ""blanc d'œuf"", ""d'élevage au sol"", 'chocolat', 'cacao en pâte', 'sucre', 'émulsifiant', 'lécithine de soja', 'vanille', 'sucre']",MIGROS SÉLECTION MOUSSE AU CHOCOLAT
