,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
61,,,,,,,,,,8410032004440,ALBO TINTENFISCH (STÜCKEN) IN EIGENER TINTE,,112.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,60.0,14.0,0.5,0.5,0.5,0.0,0.0,3.5,7613312132265,Mclassic Fruit fun Apfel,,200.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,42.0,1079.0,256.0,6.0,2.5,7.0,1.6,2.5,6.0,8410076472366,Pancho Villa Extra Mild Fajita Kit,,476.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,55.0,2270.0,543.0,32.0,3.5,7.0,0.15,16.0,53.0,7616500654181,Frey - Classic Branches,,1620.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1.0,1100.0,266.0,24.0,,12.0,,,,7610200243911,M-Budget Lyoner,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,8000795013126,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,10.7,182.0,43.0,0.0,,0.0,0.0,0.0,10.7,5449000029706,Coca-Cola,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,23.2,432.0,102.0,0.1,,1.2,1.8,,22.8,87157116,Heinz Tomato Ketchup,,300.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,8690508101310,Tukas Tomato Paste,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,5000112568967,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,79,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,8.0,316.0,76.0,3.5,2.0,2.0,0.85,0.9,3.0,7613312065969,Namaste India Yellow Dal Mungbohnen mit Gewürzen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,55.7,970.0,228.0,0.1,,0.4,2.98,,43.6,5011308000703,PATAK'S THE Original MANGO CHUTNEY MILD,,340.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.5,3050.0,730.0,82.0,,0.5,,,,7610807069525,COOP naturaplan butter,,60.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4.6,82.0,19.0,0.0,,0.0,0.04,,4.6,5449000012913,Nestea Lemon,,330.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,7617014168720,Café Royal Switzerland Espresso Intensive,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,9.0,2570.0,615.0,52.0,6.0,26.0,0.0,5.0,4.0,7613331141835,Coop Naturaplan Sonnenblumenkerne geschält,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,8.0,467.0,110.0,2.0,0.5,15.0,1.7,0.7,2.5,7617027762021,Migros Wildschweinpfeffer,,600.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,62.3,2069.0,494.0,24.4,,5.5,0.4,14.5,55.2,5000159475358,CelEBraTioNs,,190.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,57.0,2000.0,479.0,24.0,3.5,7.0,0.2,7.0,36.0,7617400031454,Migros Taragona Gefülltes Haselnuss - Makronen - Gabäck,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,50.0,884.0,208.0,0.5,2.0,0.5,0.06,0.0,41.0,7613269196440,Preiselbeeren,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,7610973189331,Les Grands Dignitaires Le Tabellion Humagne Rouge Du Valais AOC 2010,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,8.8,183.0,43.0,0.5,,0.7,0.0,0.1,8.8,7613035298033,,,1000.0,ml,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7.0,730.0,175.0,12.0,3.5,8.0,5.5,0.8,2.0,7616700143416,Reine Dijon Original Dijon-Senf scharf,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,14.0,420.0,100.0,3.0,0.0,4.0,,2.0,14.0,7610849458059,Coop Naturaplan Bio Saison Jogurt Kirche-Holunderbeere,,180.0,g,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,690.0,168.0,15.5,0.0,3.0,0.1,9.4,4.0,22140579,Valflora coffee cream,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,55.0,2323.0,557.0,33.0,,8.1,0.19,13.0,38.0,7614800250003,Kambly Mandelcaramel,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,28.0,797.0,189.0,4.0,2.5,9.0,0.95,1.5,1.5,7617027956376,M Budget Tortellini Fleisch,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,29.0,947.0,226.0,9.0,,6.5,1.1,3.1,2.9,4001724420101,Dr.Oetker Bistro Classique Baguette Champignon,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,0734756000068,Stubb's Smokey Mesquite,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,15.0,470.0,111.0,3.5,,4.0,0.1,2.1,15.0,7610900044320,Cristallina Schokoladestichfest ,,175.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,3351650008968,Georges Dubœuf Pouilly-Fuissé 2014,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,15.0,817.0,195.0,9.0,1.0,13.0,0.95,3.0,2.0,7613312059197,Migros Bio Fischstäbchen Pangasius,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,3760111814015,Chateau Haut-Bergey Pessac-Léognan 2011,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,8711000513286,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,7610899110501,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,7610029160598,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,14.0,2480.0,596.0,45.0,3.5,32.0,0.0,5.0,5.0,7610200303394,Pinienkerne,['Spain'],100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,4000177622001,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,9.2,306.0,73.0,3.2,,1.8,0.19,2.0,8.3,24060493,Coolpresso,,230.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9.0,160.0,37.0,0.0,,0.0,0.03,0.0,9.0,7610097111294,rivella DAS ORIGINAL,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,3.0,,,17.0,0.5,13.0,1.7,6.0,1.5,7610200098641,Optigal Gefügel cervelas,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0.5,358.0,85.0,0.9,0.0,19.0,0.16,0.5,0.5,7613269293798,Pelican Eglifilets ,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,78.0,1578.0,372.0,1.5,4.8,9.3,1.0,0.3,11.9,5053827110624,KELLOGG'S : Special K Classic,['EU'],500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,13.4,821.0,198.0,13.8,2.7,2.8,1.62,7.1,13.0,4006099655608,Feinkost Dittmann Pepper Bals Curry Ananas,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,3760020095208,Les Tourelles de Longueville Pauillac 2012,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,55.0,2360.0,565.0,35.0,1.0,7.0,0.08,24.0,46.0,7611654606840,Coop Qualité & Prix Yogourt Fraise,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,65.0,1464.0,346.0,1.5,6.0,15.0,0.01,0.5,1.5,7610200298218,"MIGROS BIO Bauernmehl mit Weizen, Dinkel und Roggen",,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,12.0,223.0,53.0,0.1,0.8,0.5,0.0,0.0,12.0,3608580004691,Andros Multifrucht Exotic,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,9032400005928,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,7613034389381,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,7610029175141,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,7640126171098,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,61.0,1450.0,347.0,3.5,10.0,12.0,0.03,0.5,0.5,7610800975236,5-Korn-Flocken,"['Schweiz, Europa']",500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,27.0,649.0,154.0,2.5,1.5,5.0,0.96,0.2,0.5,7613269577591,Migros Bio Kräuterspätzli,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.2,433.0,105.0,10.4,,0.6,0.7,1.6,0.7,3760132081366,Green Shoot Salmorejo Soupe Froide a L'huile d'olive vierge extra,,1000.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,6.0,360.0,87.0,6.0,1.0,1.0,0.89,3.0,0.9,7613269299257,Bon Chef Morchelsauce,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,7610029160888,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,8711000511817,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,80.0,1573.0,371.0,1.0,5.0,8.0,1.0,0.5,4.0,7613269234210,Migros Bio Cornflakes,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,13.0,220.0,52.0,0.0,,0.0,0.05,,10.0,7618500948345,Biotta VITA 7,,,ml,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,3.0,330.0,77.0,0.0,,10.0,17.0,0.0,0.6,8715035110502,Kikkoman : Sojasauce,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,34.0,602.0,142.0,0.0,1.5,0.7,0.07,,34.0,7613312036181,Migros Extra Fit & Well Aprikosen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,17.1,453.0,107.0,3.0,,3.0,0.13,2.0,14.4,3033490906290,DANONE Danette Saveur Vanille,,125.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,20247959,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,72.2,1521.0,359.0,2.0,3.0,11.5,0.01,0.5,3.5,8076809570626,Barilla BIO PENNE RIGATE,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,7611373000455,Fasanen Terrine mit Armagnac,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,4.1,429.0,102.0,4.2,0.1,11.9,1.3,2.5,4.1,7610100505065,Hirz Nature Hüttenkäse,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,5.5,196.0,46.0,0.1,1.1,4.8,0.15,0.1,4.1,7610100727030,Nestlé HIRZ Café,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,58.0,1610.0,385.0,8.0,11.0,14.0,0.02,1.0,1.0,7610800996866,Vollkorn Haferflöckli,['Deutschland'],500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,22.0,870.0,210.0,12.0,,2.0,,,,7616700188318,Migros Mousseline mangue,,110.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,50.0,2273.0,545.0,34.6,,8.3,,,,76101243,Cailler La Branche Originale,,46.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,7610029135893,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,26.6,1143.0,274.0,17.0,0.3,3.4,0.12,9.0,23.9,7613035009820,"Movenpick, mapple walnut - Ahornsirup Rahmeis mit Ahornsirupsauce (4%), weisse Schokolade aus der Rahm (29%) und karamellisieren Walnussstückchen",,270.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,87.6,1665.0,393.0,3.1,,0.01,2.1,3.1,85.5,5010478602571,Swizzels love hearts,,128.0,g,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,40.0,769.0,181.0,0.6,1.1,1.8,2.9,0.1,38.0,7622210080387,Bull's-Eye Steakhouse BBQ Sauce Pikante Paprika eund Tomatenmark,,235.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,60.5,707.0,170.0,2.0,,0.4,0.0,1.7,0.0,7622210106124,TRIDENT : Senses : Berry Party,,27.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,20357283,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
