,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,id,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
47,80.0,1510.0,361.0,0.5,1.0,7.0,0.01,0.0,0.0,2931,"coop FINE FOOD Spanischer Paella-Reis ""Bomba""",,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,50.0,930.0,222.0,0.5,9.0,2.5,0.5,0.0,46.0,15733,Coop Qualité&Prix  Mischobst,,200.0,g,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,16008,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,66.8,2108.0,503.0,23.6,,5.3,0.16,14.3,34.2,17980,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,2090.0,500.0,51.0,,11.0,,,,7176,Bell Mettwurst,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,19.0,538.0,128.0,2.5,2.5,6.0,0.9,0.6,1.5,11931,SubitoPenne bolognaise,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8.0,831.0,201.0,17.0,5.0,1.5,1.1,2.5,1.5,12137,Anna's VEGI GUACAMOLE MEXICAN STYLE,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,13.0,317.0,75.0,1.0,2.0,2.5,0.5,0.5,7.0,1280,MIGROS : Maiskörner Bio,['Hungary'],285.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,11804,ALBO TINTENFISCH (STÜCKEN) IN EIGENER TINTE,,112.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,55.0,2270.0,543.0,32.0,3.5,7.0,0.15,16.0,53.0,15116,Frey - Classic Branches,,1620.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.0,1100.0,266.0,24.0,,12.0,,,,12193,M-Budget Lyoner,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,15976,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10.7,182.0,43.0,0.0,,0.0,0.0,0.0,10.7,21202,Coca-Cola,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.8,60.0,14.0,0.5,0.5,0.0,0.0,0.0,3.5,21203,Mclassic Fruit fun Apfel,,200.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,23.2,432.0,102.0,0.1,,1.2,1.8,,22.8,3827,Heinz Tomato Ketchup,,300.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,4429,Tukas Tomato Paste,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,15992,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,16010,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.0,316.0,76.0,3.5,2.0,2.0,0.85,0.9,3.0,10152,Namaste India Yellow Dal Mungbohnen mit Gewürzen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,55.7,970.0,228.0,0.1,,0.4,2.98,,43.6,4798,PATAK'S THE Original MANGO CHUTNEY MILD,,340.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.5,3050.0,730.0,82.0,,0.5,,,,6187,COOP naturaplan butter,,60.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4.6,82.0,19.0,0.0,,0.0,0.04,,4.6,4917,Nestea Lemon,,330.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,11588,Café Royal Switzerland Espresso Intensive,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,9.0,2570.0,615.0,52.0,6.0,26.0,0.0,5.0,4.0,1371,Coop Naturaplan Sonnenblumenkerne geschält,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,8.0,467.0,110.0,2.0,0.5,15.0,1.7,0.7,2.5,13181,Migros Wildschweinpfeffer,,600.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,62.3,2069.0,494.0,24.4,,5.5,0.4,14.5,55.2,5174,CelEBraTioNs,,190.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,57.0,2000.0,479.0,24.0,3.5,7.0,0.2,7.0,36.0,11133,Migros Taragona Gefülltes Haselnuss - Makronen - Gabäck,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,50.0,884.0,208.0,0.5,2.0,0.5,0.06,0.0,41.0,15111,Preiselbeeren,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,8720,Les Grands Dignitaires Le Tabellion Humagne Rouge Du Valais AOC 2010,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,8.8,183.0,43.0,0.5,,0.7,0.0,0.1,8.8,15994,,,1000.0,ml,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,7.0,730.0,175.0,12.0,3.5,8.0,5.5,0.8,2.0,10445,Reine Dijon Original Dijon-Senf scharf,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,14.0,420.0,100.0,3.0,0.0,4.0,,2.0,14.0,6502,Coop Naturaplan Bio Saison Jogurt Kirche-Holunderbeere,,180.0,g,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4.0,690.0,168.0,15.5,0.0,3.0,0.1,9.4,4.0,1537,Valflora coffee cream,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,55.0,2323.0,557.0,33.0,,8.1,0.19,13.0,38.0,3767,Kambly Mandelcaramel,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,28.0,797.0,189.0,4.0,2.5,9.0,0.95,1.5,1.5,14281,M Budget Tortellini Fleisch,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,29.0,947.0,226.0,9.0,,6.5,1.1,3.1,2.9,5082,Dr.Oetker Bistro Classique Baguette Champignon,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,3832,Stubb's Smokey Mesquite,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,15.0,470.0,111.0,3.5,,4.0,0.1,2.1,15.0,21661,Cristallina Schokoladestichfest ,,175.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,9624,Georges Dubœuf Pouilly-Fuissé 2014,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,15.0,817.0,195.0,9.0,1.0,13.0,0.95,3.0,2.0,12054,Migros Bio Fischstäbchen Pangasius,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,8797,Chateau Haut-Bergey Pessac-Léognan 2011,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,16092,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,16102,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,16141,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,14.0,2480.0,596.0,45.0,3.5,32.0,0.0,5.0,5.0,1630,Pinienkerne,['Spain'],100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,15989,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,9.2,306.0,73.0,3.2,,1.8,0.19,2.0,8.3,19539,Coolpresso,,230.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,9.0,160.0,37.0,0.0,,0.0,0.03,0.0,9.0,5129,rivella DAS ORIGINAL,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,3.0,,,17.0,0.5,13.0,1.7,6.0,1.5,13121,Optigal Gefügel cervelas,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,58.0,2340.0,561.0,34.0,1.5,5.0,0.14,0.0,57.0,16638,,,,g,,,0.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2.5,550.0,132.0,7.0,1.0,14.0,0.9,1.0,1.0,8295,Coop Tomato Bio Tofu Karma mariniert mit Tomaten und Peperoni,,220.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,78.0,1578.0,372.0,1.5,4.8,9.3,1.0,0.3,11.9,1234,KELLOGG'S : Special K Classic,['EU'],500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,13.4,821.0,198.0,13.8,2.7,2.8,1.62,7.1,13.0,10332,Feinkost Dittmann Pepper Bals Curry Ananas,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,8802,Les Tourelles de Longueville Pauillac 2012,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,55.0,2360.0,565.0,35.0,1.0,7.0,0.08,24.0,46.0,2595,Coop Qualité & Prix Yogourt Fraise,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,65.0,1464.0,346.0,1.5,6.0,15.0,0.01,0.5,1.5,10573,"MIGROS BIO Bauernmehl mit Weizen, Dinkel und Roggen",,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,12.0,223.0,53.0,0.1,0.8,0.5,0.0,0.0,12.0,7740,Andros Multifrucht Exotic,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,16040,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,16083,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,16095,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,16109,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,61.0,1450.0,347.0,3.5,10.0,12.0,0.03,0.5,0.5,1801,5-Korn-Flocken,"['Schweiz, Europa']",500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,27.0,649.0,154.0,2.5,1.5,5.0,0.96,0.2,0.5,14296,Migros Bio Kräuterspätzli,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1.2,433.0,105.0,10.4,,0.6,0.7,1.6,0.7,7710,Green Shoot Salmorejo Soupe Froide a L'huile d'olive vierge extra,,1000.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,67.0,2005.0,478.0,19.0,,8.2,0.44,15.0,26.0,3800,Kambly BRETZELI,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,72.0,1521.0,350.0,1.5,,13.0,0.01,0.5,2.5,1369,Agnesi Le Cravattine N.60 Fine Quality Pasta,['Italy'],500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6.0,360.0,87.0,6.0,1.0,1.0,0.89,3.0,0.9,13698,Bon Chef Morchelsauce,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,80.0,1573.0,371.0,1.0,5.0,8.0,1.0,0.5,4.0,11045,Migros Bio Cornflakes,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,13.0,220.0,52.0,0.0,,0.0,0.05,,10.0,5987,Biotta VITA 7,,,ml,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3.0,330.0,77.0,0.0,,10.0,17.0,0.0,0.6,1291,Kikkoman : Sojasauce,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,34.0,602.0,142.0,0.0,1.5,0.7,0.07,,34.0,12397,Migros Extra Fit & Well Aprikosen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,17.1,453.0,107.0,3.0,,3.0,0.13,2.0,14.4,6741,DANONE Danette Saveur Vanille,,125.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,21662,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,72.2,1521.0,359.0,2.0,3.0,11.5,0.01,0.5,3.5,5695,Barilla BIO PENNE RIGATE,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,3645,Fasanen Terrine mit Armagnac,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4.1,429.0,102.0,4.2,0.1,11.9,1.3,2.5,4.1,7998,Hirz Nature Hüttenkäse,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,5.5,196.0,46.0,0.1,1.1,4.8,0.15,0.1,4.1,6298,Nestlé HIRZ Café,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,58.0,1610.0,385.0,8.0,11.0,14.0,0.02,1.0,1.0,1804,Vollkorn Haferflöckli,['Deutschland'],500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,22.0,870.0,210.0,12.0,,2.0,,,,14454,Migros Mousseline mangue,,110.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,15993,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,4.5,122.0,29.0,0.5,1.5,0.9,2.2,,2.5,10390,CONDY Silberzwiebeln,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.7,897.0,216.0,16.0,0.5,17.0,1.0,5.0,0.5,20503,The Frozen Butcher Chicken Burger ,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,15745,Fonte Tavina Sparkling,,1500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,26.6,1143.0,274.0,17.0,0.3,3.4,0.12,9.0,23.9,6948,"Movenpick, mapple walnut - Ahornsirup Rahmeis mit Ahornsirupsauce (4%), weisse Schokolade aus der Rahm (29%) und karamellisieren Walnussstückchen",,270.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,87.6,1665.0,393.0,3.1,,0.01,2.1,3.1,85.5,2208,Swizzels love hearts,,128.0,g,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,40.0,769.0,181.0,0.6,1.1,1.8,2.9,0.1,38.0,3842,Bull's-Eye Steakhouse BBQ Sauce Pikante Paprika eund Tomatenmark,,235.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,17989,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,25.0,1240.0,297.0,18.0,2.0,8.0,1.4,8.0,2.0,5083,coop Qualité & Prix Schinkengipfeli,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,20848,Fabrication Artisanale Chocolinette San Lait Sans Gluten,,220.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,16.0,298.0,70.0,0.2,1.3,0.5,0.01,,14.6,11562,"Nestle NaturNes Banane, Apfel",,90.0,g,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,56.0,2370.0,569.0,36.0,2.5,3.0,0.08,7.0,55.0,16017,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,51.38,1777.0,425.0,21.3,2.3,6.8,0.55,4.97,30.3,16048,,,350.0,g,,,0.0,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,16080,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,16110,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,16058,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,69.5,720.0,173.0,0.2,,0.1,0.0,0.0,0.3,2242,Stimorol cinnamon flavour 7 packs in 1,['Poland'],98.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
